objID raMean decMean nDetections ng nr ni nz ny gMeanPSFMag rMeanPSFMag iMeanPSFMag zMeanPSFMag yMeanPSFMag
122881877219942304 187.7220297 12.40151462 5 0 2 1 2 0 -999.0 -999.0 -999.0 -999.0 -999.0
122881877223687190 187.72232084 12.40554974 9 2 1 4 2 0 20.700899124145508 -999.0 19.683500289916992 19.680099487304688 -999.0
122881877230433817 187.72313945 12.40275914 4 2 0 2 0 0 20.71660041809082 -999.0 -999.0 -999.0 -999.0
122881877234574998 187.72345817 12.40366093 3 0 0 3 0 0 -999.0 -999.0 19.72800064086914 -999.0 -999.0
122881877238906090 187.72386835 12.40459813 12 2 1 7 1 1 20.7096004486084 19.38319969177246 20.017799377441406 19.859600067138672 19.061199188232422
122881877258440328 187.72605418 12.39995333 3 2 0 1 0 0 21.13800048828125 -999.0 20.520000457763672 -999.0 -999.0
122881877260649427 187.72605652 12.40741783 19 4 6 7 2 0 21.261699676513672 19.677099227905273 19.597299575805664 19.86440086364746 -999.0
122881877283254588 187.72828705 12.40339341 49 10 15 14 4 6 20.44930076599121 19.664199829101562 19.203800201416016 19.51020050048828 19.191299438476562
122881877286257974 187.72860167 12.40616618 8 2 3 3 0 0 21.214599609375 19.67959976196289 19.613500595092773 -999.0 -999.0
122881877291330420 187.72907559 12.39982172 2 0 0 2 0 0 -999.0 -999.0 19.761499404907227 -999.0 -999.0
122881877294161656 187.72934361 12.40086387 10 1 1 5 3 0 20.42569923400879 23.907699584960938 19.582700729370117 19.957300186157227 -999.0
122861876826900702 187.68266822 12.38348849 32 4 9 11 7 1 20.279499053955078 19.715599060058594 20.088699340820312 19.535200119018555 19.803800582885742
122861876862841505 187.68632808 12.38413223 12 2 2 6 2 0 20.58930015563965 19.271299362182617 19.985599517822266 19.257299423217773 -999.0
122861876864227503 187.68644101 12.38914712 4 2 0 2 0 0 20.56290054321289 -999.0 20.230100631713867 -999.0 -999.0
122861876875302540 187.68748234 12.38518467 6 2 0 2 2 0 20.674800872802734 -999.0 -999.0 18.118200302124023 -999.0
122861876877045561 187.68759727 12.3874836 2 2 0 0 0 0 20.831499099731445 -999.0 -999.0 -999.0 -999.0
122871877296802505 187.72959402 12.39322772 12 1 0 8 3 0 20.86989974975586 -999.0 19.82069969177246 24.503700256347656 -999.0
122871877310864811 187.73104236 12.3952531 12 0 1 7 3 1 -999.0 19.590700149536133 20.099199295043945 19.62700080871582 20.113800048828125
122871877320443691 187.73187296 12.39415079 11 2 1 6 2 0 21.242599487304688 22.10569953918457 19.754100799560547 20.463699340820312 -999.0
122871877321240361 187.73210079 12.39152019 3 0 0 0 2 1 -999.0 -999.0 -999.0 -999.0 19.321699142456055
122871877332304955 187.73333198 12.39527424 2 0 1 1 0 0 -999.0 19.180099487304688 20.360700607299805 -999.0 -999.0
122871877334377621 187.73341177 12.39754906 51 11 7 13 9 11 20.643299102783203 19.19179916381836 19.53619956970215 19.383699417114258 19.225000381469727
122871877336911340 187.7336464 12.39234034 5 0 2 3 0 0 -999.0 19.29199981689453 21.122800827026367 -999.0 -999.0
122891876886875159 187.68866584 12.41219704 2 0 1 0 0 1 -999.0 -999.0 -999.0 -999.0 19.721599578857422
122891876915066339 187.69148326 12.41315456 59 7 14 11 14 13 19.700300216674805 18.650699615478516 17.580299377441406 17.115699768066406 16.81220054626465
122891876930221979 187.69299404 12.40959051 4 1 0 3 0 0 -999.0 -999.0 19.676599502563477 -999.0 -999.0
122891876933737899 187.69340686 12.41446771 2 1 0 0 1 0 20.36400032043457 -999.0 -999.0 19.734899520874023 -999.0
122891876937222836 187.69372231 12.41026275 4 1 0 1 1 1 -999.0 -999.0 20.811899185180664 19.234100341796875 19.64389991760254
122891876942556146 187.69424941 12.41310529 5 0 0 1 4 0 -999.0 -999.0 19.408899307250977 19.491899490356445 -999.0
122891876974670778 187.69744053 12.40853644 3 1 1 0 0 1 -999.0 19.861400604248047 -999.0 -999.0 -999.0
